OBJECTID,ZONEID,Zone,Contract Rezone Number,Ordinance Number,Effective Date,Historic District Overlay,Pedestrian Overlay,Shoreline Overlay,Other District Overlay,Station Area Overlay,Mandatory Housing Affordability Apply (Y/N),Incentive Zoning Apply (Y/N),Mandatory Housing Affordability Tier,Major Institution Name,Class,Category,Detail Code,Detail,Group,Zoning Description,Base Zone,Previous Zone,Previous Contract Rezone Number,Previous Ordinance Number,Previous Effective Date,Previous Historic District Overlay,Previous Pedestrian Overlay,Previous Shoreline Overlay,Previous Other District Overlay,Previous Station Area Overlay,Class Description Popup,Land Use Code Chapter,Land Use Code Chapter Link,Zoning History
1875,8755,NR,CF290015,127376,1/21/2026 8:00:00 AM, , , , , ,N,N,,,Neighborhood Residential,Neighborhood Residential,NR,Residential Neighborhood,Neighborhood Residential,Neighborhood Residential,NR,NR3-PUD,CF290015,7076,6/27/2025 8:00:00 AM, , , , , ,"is a neighborhood residential zone, which generally allows detached single-family houses, attached and detached accessory dwellings.",Chapter 23.44,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.44NERE,"NR,ORD127376,CF290015,01/21/2026; NR3-PUD,ORD7076,CF290015,06/27/2025; NR3-PUD,ORD126509,CF290015,06/15/2022; SF 5000-PUD,ORD109793,CF290015,04/29/1981; SF 5000-PUD,05/01/1994"
1876,8756,NR, ,127376,1/21/2026 8:00:00 AM, , ,UR, , ,N,N,,,Neighborhood Residential,Neighborhood Residential,NR,Residential Neighborhood,Neighborhood Residential,Neighborhood Residential,NR,NR3, ,7074,6/27/2025 8:00:00 AM, , ,UR, , ,"is a neighborhood residential zone, which generally allows detached single-family houses, attached and detached accessory dwellings.",Chapter 23.44,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.44NERE,"NR,ORD127376,01/21/2026; NR3,ORD7074,06/27/2025; NR3,ORD126509,06/15/2022; SF 5000; SF 5000,05/01/1994"
1877,8592,NR, ,127376,1/21/2026 8:00:00 AM, , , , , ,N,N,,,Neighborhood Residential,Neighborhood Residential,NR,Residential Neighborhood,Neighborhood Residential,Neighborhood Residential,NR,NR2, ,7077,6/27/2025 8:00:00 AM, , , , , ,"is a neighborhood residential zone, which generally allows detached single-family houses, attached and detached accessory dwellings.",Chapter 23.44,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.44NERE,"NR,ORD127376,01/21/2026; NR2,ORD7077,06/27/2025; NR2,ORD126509,06/15/2022; SF 7200; SF 7200,05/01/1994"
1878,8757,NR, ,127376,1/21/2026 8:00:00 AM, , ,UR, , ,N,N,,,Neighborhood Residential,Neighborhood Residential,NR,Residential Neighborhood,Neighborhood Residential,Neighborhood Residential,NR,NR3, ,7075,6/27/2025 8:00:00 AM, , ,UR, , ,"is a neighborhood residential zone, which generally allows detached single-family houses, attached and detached accessory dwellings.",Chapter 23.44,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.44NERE,"NR,ORD127376,01/21/2026; NR3,ORD7075,06/27/2025; NR3,ORD126509,06/15/2022; SF 5000; SF 5000,05/01/1994"
1879,8716,NR, ,127376,1/21/2026 8:00:00 AM, , , , , ,N,N,,,Neighborhood Residential,Neighborhood Residential,NR,Residential Neighborhood,Neighborhood Residential,Neighborhood Residential,NR,NR2, ,7093,6/27/2025 8:00:00 AM, , , , , ,"is a neighborhood residential zone, which generally allows detached single-family houses, attached and detached accessory dwellings.",Chapter 23.44,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.44NERE,"NR,ORD127376,01/21/2026; NR2,ORD7093,06/27/2025; NR2,ORD126509,06/15/2022; SF 7200; SF 7200,05/01/1994"
1880,8637,NR, ,127376,1/21/2026 8:00:00 AM, , , , , ,N,N,,,Neighborhood Residential,Neighborhood Residential,NR,Residential Neighborhood,Neighborhood Residential,Neighborhood Residential,NR,NR2, ,7103,6/27/2025 8:00:00 AM, , , , , ,"is a neighborhood residential zone, which generally allows detached single-family houses, attached and detached accessory dwellings.",Chapter 23.44,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.44NERE,"NR,ORD127376,01/21/2026; NR2,ORD7103,06/27/2025; NR2,ORD126509,06/15/2022; SF 7200; SF 7200,05/01/1994"
1881,8518,NR, ,127376,1/21/2026 8:00:00 AM, , , ,NG, ,N,N,,,Neighborhood Residential,Neighborhood Residential,NR,Residential Neighborhood,Neighborhood Residential,Neighborhood Residential,NR,NR2, ,7094,6/27/2025 8:00:00 AM, , , ,NG, ,"is a neighborhood residential zone, which generally allows detached single-family houses, attached and detached accessory dwellings.",Chapter 23.44,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.44NERE,"NR,ORD127376,01/21/2026; NR2,ORD7094,06/27/2025; NR2,ORD126509,06/15/2022; SF 7200; SF 7200,05/01/1994"
1882,8516,NR, ,127376,1/21/2026 8:00:00 AM, , , , , ,N,N,,,Neighborhood Residential,Neighborhood Residential,NR,Residential Neighborhood,Neighborhood Residential,Neighborhood Residential,NR,NR2, ,7088,6/27/2025 8:00:00 AM, , , , , ,"is a neighborhood residential zone, which generally allows detached single-family houses, attached and detached accessory dwellings.",Chapter 23.44,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.44NERE,"NR,ORD127376,01/21/2026; NR2,ORD7088,06/27/2025; NR2,ORD126509,06/15/2022; SF 7200; SF 7200,05/01/1994"
1883,8638,NR, ,127376,1/21/2026 8:00:00 AM, , , ,NG, ,N,N,,,Neighborhood Residential,Neighborhood Residential,NR,Residential Neighborhood,Neighborhood Residential,Neighborhood Residential,NR,NR2, ,7095,6/27/2025 8:00:00 AM, , , ,NG, ,"is a neighborhood residential zone, which generally allows detached single-family houses, attached and detached accessory dwellings.",Chapter 23.44,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.44NERE,"NR,ORD127376,01/21/2026; NR2,ORD7095,06/27/2025; NR2,ORD126509,06/15/2022; SF 7200; SF 7200,05/01/1994"
1884,8559,NR, ,127376,1/21/2026 8:00:00 AM, , , , , ,N,N,,,Neighborhood Residential,Neighborhood Residential,NR,Residential Neighborhood,Neighborhood Residential,Neighborhood Residential,NR,NR2, ,7089,6/27/2025 8:00:00 AM, , , , , ,"is a neighborhood residential zone, which generally allows detached single-family houses, attached and detached accessory dwellings.",Chapter 23.44,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.44NERE,"NR,ORD127376,01/21/2026; NR2,ORD7089,06/27/2025; NR2,ORD126509,06/15/2022; SF 7200; SF 7200,05/01/1994"
1885,8758,NR, ,127376,1/21/2026 8:00:00 AM, , ,CM, , ,N,N,,,Neighborhood Residential,Neighborhood Residential,NR,Residential Neighborhood,Neighborhood Residential,Neighborhood Residential,NR,NR2, ,7096,6/27/2025 8:00:00 AM, , ,CM, , ,"is a neighborhood residential zone, which generally allows detached single-family houses, attached and detached accessory dwellings.",Chapter 23.44,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.44NERE,"NR,ORD127376,01/21/2026; NR2,ORD7096,06/27/2025; NR2,ORD126509,06/15/2022; SF 7200; SF 7200,05/01/1994"
1886,8715,NR, ,127376,1/21/2026 8:00:00 AM, , , , , ,N,N,,,Neighborhood Residential,Neighborhood Residential,NR,Residential Neighborhood,Neighborhood Residential,Neighborhood Residential,NR,NR2, ,7092,6/27/2025 8:00:00 AM, , , , , ,"is a neighborhood residential zone, which generally allows detached single-family houses, attached and detached accessory dwellings.",Chapter 23.44,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.44NERE,"NR,ORD127376,01/21/2026; NR2,ORD7092,06/27/2025; NR2,ORD126509,06/15/2022; SF 7200; SF 7200,05/01/1994"
1887,8593,NR, ,127376,1/21/2026 8:00:00 AM, , , , , ,N,N,,,Neighborhood Residential,Neighborhood Residential,NR,Residential Neighborhood,Neighborhood Residential,Neighborhood Residential,NR,NR2, ,7091,6/27/2025 8:00:00 AM, , , , , ,"is a neighborhood residential zone, which generally allows detached single-family houses, attached and detached accessory dwellings.",Chapter 23.44,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.44NERE,"NR,ORD127376,01/21/2026; NR2,ORD7091,06/27/2025; NR2,ORD126509,06/15/2022; SF 7200; SF 7200,05/01/1994"
1888,8639,NR, ,127376,1/21/2026 8:00:00 AM, , ,CM, , ,N,N,,,Neighborhood Residential,Neighborhood Residential,NR,Residential Neighborhood,Neighborhood Residential,Neighborhood Residential,NR,NR2, ,7097,6/27/2025 8:00:00 AM, , ,CM, , ,"is a neighborhood residential zone, which generally allows detached single-family houses, attached and detached accessory dwellings.",Chapter 23.44,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.44NERE,"NR,ORD127376,01/21/2026; NR2,ORD7097,06/27/2025; NR2,ORD126509,06/15/2022; SF 7200; SF 7200,05/01/1994"
1889,8519,NR, ,127376,1/21/2026 8:00:00 AM, , ,CM, , ,N,N,,,Neighborhood Residential,Neighborhood Residential,NR,Residential Neighborhood,Neighborhood Residential,Neighborhood Residential,NR,NR2, ,7098,6/27/2025 8:00:00 AM, , ,CM, , ,"is a neighborhood residential zone, which generally allows detached single-family houses, attached and detached accessory dwellings.",Chapter 23.44,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.44NERE,"NR,ORD127376,01/21/2026; NR2,ORD7098,06/27/2025; NR2,ORD126509,06/15/2022; SF 7200; SF 7200,05/01/1994"
1890,8560,NR, ,127376,1/21/2026 8:00:00 AM, , ,CM, , ,N,N,,,Neighborhood Residential,Neighborhood Residential,NR,Residential Neighborhood,Neighborhood Residential,Neighborhood Residential,NR,NR2, ,7099,6/27/2025 8:00:00 AM, , ,CM, , ,"is a neighborhood residential zone, which generally allows detached single-family houses, attached and detached accessory dwellings.",Chapter 23.44,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.44NERE,"NR,ORD127376,01/21/2026; NR2,ORD7099,06/27/2025; NR2,ORD126509,06/15/2022; SF 7200; SF 7200,05/01/1994"
1891,8467,NR, ,127376,1/21/2026 8:00:00 AM, , ,CM, , ,N,N,,,Neighborhood Residential,Neighborhood Residential,NR,Residential Neighborhood,Neighborhood Residential,Neighborhood Residential,NR,NR2, ,7100,6/27/2025 8:00:00 AM, , ,CM, , ,"is a neighborhood residential zone, which generally allows detached single-family houses, attached and detached accessory dwellings.",Chapter 23.44,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.44NERE,"NR,ORD127376,01/21/2026; NR2,ORD7100,06/27/2025; NR2,ORD126509,06/15/2022; SF 7200; SF 7200,05/01/1994"
1892,8594,NR, ,127376,1/21/2026 8:00:00 AM, , ,CM, , ,N,N,,,Neighborhood Residential,Neighborhood Residential,NR,Residential Neighborhood,Neighborhood Residential,Neighborhood Residential,NR,NR2, ,7101,6/27/2025 8:00:00 AM, , ,CM, , ,"is a neighborhood residential zone, which generally allows detached single-family houses, attached and detached accessory dwellings.",Chapter 23.44,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.44NERE,"NR,ORD127376,01/21/2026; NR2,ORD7101,06/27/2025; NR2,ORD126509,06/15/2022; SF 7200; SF 7200,05/01/1994"
1893,8595,NR, ,127376,1/21/2026 8:00:00 AM, , ,CN, , ,N,N,,,Neighborhood Residential,Neighborhood Residential,NR,Residential Neighborhood,Neighborhood Residential,Neighborhood Residential,NR,NR2, ,7102,6/27/2025 8:00:00 AM, , ,CN, , ,"is a neighborhood residential zone, which generally allows detached single-family houses, attached and detached accessory dwellings.",Chapter 23.44,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.44NERE,"NR,ORD127376,01/21/2026; NR2,ORD7102,06/27/2025; NR2,ORD126509,06/15/2022; SF 7200; SF 7200,05/01/1994"
1894,8468,NR, ,127376,1/21/2026 8:00:00 AM, , ,CP, , ,N,N,,,Neighborhood Residential,Neighborhood Residential,NR,Residential Neighborhood,Neighborhood Residential,Neighborhood Residential,NR,NR2, ,7112,6/27/2025 8:00:00 AM, , ,CP, , ,"is a neighborhood residential zone, which generally allows detached single-family houses, attached and detached accessory dwellings.",Chapter 23.44,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.44NERE,"NR,ORD127376,01/21/2026; NR2,ORD7112,06/27/2025; NR2,ORD126509,06/15/2022; SF 7200; SF 7200,05/01/1994"
1895,8596,NR, ,127376,1/21/2026 8:00:00 AM, , ,CP, , ,N,N,,,Neighborhood Residential,Neighborhood Residential,NR,Residential Neighborhood,Neighborhood Residential,Neighborhood Residential,NR,NR2, ,7104,6/27/2025 8:00:00 AM, , ,CP, , ,"is a neighborhood residential zone, which generally allows detached single-family houses, attached and detached accessory dwellings.",Chapter 23.44,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.44NERE,"NR,ORD127376,01/21/2026; NR2,ORD7104,06/27/2025; NR2,ORD126509,06/15/2022; SF 7200; SF 7200,05/01/1994"
1896,8684,NR, ,127376,1/21/2026 8:00:00 AM,FL, , , , ,N,N,,,Neighborhood Residential,Neighborhood Residential,NR,Residential Neighborhood,Neighborhood Residential,Neighborhood Residential,NR,NR2, ,7106,6/27/2025 8:00:00 AM,FL, , , , ,"is a neighborhood residential zone, which generally allows detached single-family houses, attached and detached accessory dwellings.",Chapter 23.44,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.44NERE,"NR,ORD127376,01/21/2026; NR2,ORD7106,06/27/2025; NR2,ORD126509,06/15/2022; SF 7200; SF 7200,05/01/1994"
1897,8561,NR, ,127376,1/21/2026 8:00:00 AM, , , , , ,N,N,,,Neighborhood Residential,Neighborhood Residential,NR,Residential Neighborhood,Neighborhood Residential,Neighborhood Residential,NR,NR1, ,7107,6/27/2025 8:00:00 AM, , , , , ,"is a neighborhood residential zone, which generally allows detached single-family houses, attached and detached accessory dwellings.",Chapter 23.44,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.44NERE,"NR,ORD127376,01/21/2026; NR1,ORD7107,06/27/2025; NR1,ORD126509,06/15/2022; SF 9600; SF 9600,05/01/1994"
1898,8717,NR, ,127376,1/21/2026 8:00:00 AM, , , , , ,N,N,,,Neighborhood Residential,Neighborhood Residential,NR,Residential Neighborhood,Neighborhood Residential,Neighborhood Residential,NR,NR1, ,7108,6/27/2025 8:00:00 AM, , , , , ,"is a neighborhood residential zone, which generally allows detached single-family houses, attached and detached accessory dwellings.",Chapter 23.44,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.44NERE,"NR,ORD127376,01/21/2026; NR1,ORD7108,06/27/2025; NR1,ORD126509,06/15/2022; SF 9600; SF 9600,05/01/1994"
1899,8685,NR, ,127376,1/21/2026 8:00:00 AM, , , , , ,N,N,,,Neighborhood Residential,Neighborhood Residential,NR,Residential Neighborhood,Neighborhood Residential,Neighborhood Residential,NR,NR1, ,7109,6/27/2025 8:00:00 AM, , , , , ,"is a neighborhood residential zone, which generally allows detached single-family houses, attached and detached accessory dwellings.",Chapter 23.44,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.44NERE,"NR,ORD127376,01/21/2026; NR1,ORD7109,06/27/2025; NR1,ORD126509,06/15/2022; SF 9600; SF 9600,05/01/1994"
1900,8470,NR, ,127376,1/21/2026 8:00:00 AM, , , , , ,N,N,,,Neighborhood Residential,Neighborhood Residential,NR,Residential Neighborhood,Neighborhood Residential,Neighborhood Residential,NR,NR1, ,7110,6/27/2025 8:00:00 AM, , , , , ,"is a neighborhood residential zone, which generally allows detached single-family houses, attached and detached accessory dwellings.",Chapter 23.44,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.44NERE,"NR,ORD127376,01/21/2026; NR1,ORD7110,06/27/2025; NR1,ORD126509,06/15/2022; SF 9600; SF 9600,05/01/1994"
1901,8759,NR, ,127376,1/21/2026 8:00:00 AM, , , , , ,N,N,,,Neighborhood Residential,Neighborhood Residential,NR,Residential Neighborhood,Neighborhood Residential,Neighborhood Residential,NR,NR1, ,7111,6/27/2025 8:00:00 AM, , , , , ,"is a neighborhood residential zone, which generally allows detached single-family houses, attached and detached accessory dwellings.",Chapter 23.44,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.44NERE,"NR,ORD127376,01/21/2026; NR1,ORD7111,06/27/2025; NR1,ORD126509,06/15/2022; SF 9600; SF 9600,05/01/1994"
1902,8562,NR, ,127376,1/21/2026 8:00:00 AM, , , , , ,N,N,,,Neighborhood Residential,Neighborhood Residential,NR,Residential Neighborhood,Neighborhood Residential,Neighborhood Residential,NR,NR1, ,7113,6/27/2025 8:00:00 AM, , , , , ,"is a neighborhood residential zone, which generally allows detached single-family houses, attached and detached accessory dwellings.",Chapter 23.44,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.44NERE,"NR,ORD127376,01/21/2026; NR1,ORD7113,06/27/2025; NR1,ORD126509,06/15/2022; SF 9600; SF 9600,05/01/1994"
1903,8760,NR, ,127376,1/21/2026 8:00:00 AM, , , , , ,N,N,,,Neighborhood Residential,Neighborhood Residential,NR,Residential Neighborhood,Neighborhood Residential,Neighborhood Residential,NR,NR1, ,7114,6/27/2025 8:00:00 AM, , , , , ,"is a neighborhood residential zone, which generally allows detached single-family houses, attached and detached accessory dwellings.",Chapter 23.44,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.44NERE,"NR,ORD127376,01/21/2026; NR1,ORD7114,06/27/2025; NR1,ORD126509,06/15/2022; SF 9600; SF 9600,05/01/1994"
1904,8597,NR, ,127376,1/21/2026 8:00:00 AM, , , , , ,N,N,,,Neighborhood Residential,Neighborhood Residential,NR,Residential Neighborhood,Neighborhood Residential,Neighborhood Residential,NR,NR1, ,7115,6/27/2025 8:00:00 AM, , , , , ,"is a neighborhood residential zone, which generally allows detached single-family houses, attached and detached accessory dwellings.",Chapter 23.44,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.44NERE,"NR,ORD127376,01/21/2026; NR1,ORD7115,06/27/2025; NR1,ORD126509,06/15/2022; SF 9600; SF 9600,05/01/1994"
1905,8686,NR, ,127376,1/21/2026 8:00:00 AM, , , , , ,N,N,,,Neighborhood Residential,Neighborhood Residential,NR,Residential Neighborhood,Neighborhood Residential,Neighborhood Residential,NR,NR1, ,7116,6/27/2025 8:00:00 AM, , , , , ,"is a neighborhood residential zone, which generally allows detached single-family houses, attached and detached accessory dwellings.",Chapter 23.44,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.44NERE,"NR,ORD127376,01/21/2026; NR1,ORD7116,06/27/2025; NR1,ORD126509,06/15/2022; SF 9600; SF 9600,05/01/1994"
1906,8471,NR, ,127376,1/21/2026 8:00:00 AM, , , , , ,N,N,,,Neighborhood Residential,Neighborhood Residential,NR,Residential Neighborhood,Neighborhood Residential,Neighborhood Residential,NR,NR1, ,7117,6/27/2025 8:00:00 AM, , , , , ,"is a neighborhood residential zone, which generally allows detached single-family houses, attached and detached accessory dwellings.",Chapter 23.44,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.44NERE,"NR,ORD127376,01/21/2026; NR1,ORD7117,06/27/2025; NR1,ORD126509,06/15/2022; SF 9600; SF 9600,05/01/1994"
1907,8598,NR, ,127376,1/21/2026 8:00:00 AM, , , , , ,N,N,,,Neighborhood Residential,Neighborhood Residential,NR,Residential Neighborhood,Neighborhood Residential,Neighborhood Residential,NR,NR1, ,7118,6/27/2025 8:00:00 AM, , , , , ,"is a neighborhood residential zone, which generally allows detached single-family houses, attached and detached accessory dwellings.",Chapter 23.44,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.44NERE,"NR,ORD127376,01/21/2026; NR1,ORD7118,06/27/2025; NR1,ORD126509,06/15/2022; SF 9600; SF 9600,05/01/1994"
1908,8718,NR, ,127376,1/21/2026 8:00:00 AM, , , , , ,N,N,,,Neighborhood Residential,Neighborhood Residential,NR,Residential Neighborhood,Neighborhood Residential,Neighborhood Residential,NR,NR1, ,7119,6/27/2025 8:00:00 AM, , , , , ,"is a neighborhood residential zone, which generally allows detached single-family houses, attached and detached accessory dwellings.",Chapter 23.44,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.44NERE,"NR,ORD127376,01/21/2026; NR1,ORD7119,06/27/2025; NR1,ORD126509,06/15/2022; SF 9600; SF 9600,05/01/1994"
1909,8520,NR, ,127376,1/21/2026 8:00:00 AM, , , , , ,N,N,,,Neighborhood Residential,Neighborhood Residential,NR,Residential Neighborhood,Neighborhood Residential,Neighborhood Residential,NR,NR1, ,7120,6/27/2025 8:00:00 AM, , , , , ,"is a neighborhood residential zone, which generally allows detached single-family houses, attached and detached accessory dwellings.",Chapter 23.44,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.44NERE,"NR,ORD127376,01/21/2026; NR1,ORD7120,06/27/2025; NR1,ORD126509,06/15/2022; SF 9600; SF 9600,05/01/1994"
1910,8472,NR, ,127376,1/21/2026 8:00:00 AM, , , , , ,N,N,,,Neighborhood Residential,Neighborhood Residential,NR,Residential Neighborhood,Neighborhood Residential,Neighborhood Residential,NR,NR1, ,7121,6/27/2025 8:00:00 AM, , , , , ,"is a neighborhood residential zone, which generally allows detached single-family houses, attached and detached accessory dwellings.",Chapter 23.44,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.44NERE,"NR,ORD127376,01/21/2026; NR1,ORD7121,06/27/2025; NR1,ORD126509,06/15/2022; SF 9600; SF 9600,05/01/1994"
1911,8599,NR, ,127376,1/21/2026 8:00:00 AM, , , , , ,N,N,,,Neighborhood Residential,Neighborhood Residential,NR,Residential Neighborhood,Neighborhood Residential,Neighborhood Residential,NR,NR1, ,7123,6/27/2025 8:00:00 AM, , , , , ,"is a neighborhood residential zone, which generally allows detached single-family houses, attached and detached accessory dwellings.",Chapter 23.44,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.44NERE,"NR,ORD127376,01/21/2026; NR1,ORD7123,06/27/2025; NR1,ORD126509,06/15/2022; SF 9600; SF 9600,05/01/1994"
1912,8761,NR, ,127376,1/21/2026 8:00:00 AM, , ,CR, , ,N,N,,,Neighborhood Residential,Neighborhood Residential,NR,Residential Neighborhood,Neighborhood Residential,Neighborhood Residential,NR,NR2, ,7128,6/27/2025 8:00:00 AM, , ,CR, , ,"is a neighborhood residential zone, which generally allows detached single-family houses, attached and detached accessory dwellings.",Chapter 23.44,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.44NERE,"NR,ORD127376,01/21/2026; NR2,ORD7128,06/27/2025; NR2,ORD126509,06/15/2022; SF 7200; SF 7200,05/01/1994"
1913,8563,NR,CF314356,127376,1/21/2026 8:00:00 AM, , , , , ,N,N,,,Neighborhood Residential,Neighborhood Residential,NR,Residential Neighborhood,Neighborhood Residential,Neighborhood Residential,NR,NR3,CF314356,7124,6/27/2025 8:00:00 AM, , , , , ,"is a neighborhood residential zone, which generally allows detached single-family houses, attached and detached accessory dwellings.",Chapter 23.44,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.44NERE,"NR,ORD127376,CF314356,01/21/2026; NR3,ORD7124,CF314356,06/27/2025; NR3,ORD126509,CF314356,06/15/2022; SF 5000,ORD125640,CF314356,09/05/2018; SF 5000"
1914,8687,NR, ,127376,1/21/2026 8:00:00 AM, , ,CR, , ,N,N,,,Neighborhood Residential,Neighborhood Residential,NR,Residential Neighborhood,Neighborhood Residential,Neighborhood Residential,NR,NR2, ,7125,6/27/2025 8:00:00 AM, , ,CR, , ,"is a neighborhood residential zone, which generally allows detached single-family houses, attached and detached accessory dwellings.",Chapter 23.44,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.44NERE,"NR,ORD127376,01/21/2026; NR2,ORD7125,06/27/2025; NR2,ORD126509,06/15/2022; SF 7200; SF 7200,05/01/1994"
1915,8473,NR, ,127376,1/21/2026 8:00:00 AM, , ,CR, , ,N,N,,,Neighborhood Residential,Neighborhood Residential,NR,Residential Neighborhood,Neighborhood Residential,Neighborhood Residential,NR,NR2, ,7129,6/27/2025 8:00:00 AM, , ,CR, , ,"is a neighborhood residential zone, which generally allows detached single-family houses, attached and detached accessory dwellings.",Chapter 23.44,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.44NERE,"NR,ORD127376,01/21/2026; NR2,ORD7129,06/27/2025; NR2,ORD126509,06/15/2022; SF 7200; SF 7200,05/01/1994"
1916,8688,NR, ,127376,1/21/2026 8:00:00 AM, , ,CR, , ,N,N,,,Neighborhood Residential,Neighborhood Residential,NR,Residential Neighborhood,Neighborhood Residential,Neighborhood Residential,NR,NR2, ,7126,6/27/2025 8:00:00 AM, , ,CR, , ,"is a neighborhood residential zone, which generally allows detached single-family houses, attached and detached accessory dwellings.",Chapter 23.44,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.44NERE,"NR,ORD127376,01/21/2026; NR2,ORD7126,06/27/2025; NR2,ORD126509,06/15/2022; SF 7200; SF 7200,05/01/1994"
