OBJECTID,ZONEID,Zone,Contract Rezone Number,Ordinance Number,Effective Date,Historic District Overlay,Pedestrian Overlay,Shoreline Overlay,Other District Overlay,Station Area Overlay,Mandatory Housing Affordability Apply (Y/N),Incentive Zoning Apply (Y/N),Mandatory Housing Affordability Tier,Major Institution Name,Class,Category,Detail Code,Detail,Group,Zoning Description,Base Zone,Previous Zone,Previous Contract Rezone Number,Previous Ordinance Number,Previous Effective Date,Previous Historic District Overlay,Previous Pedestrian Overlay,Previous Shoreline Overlay,Previous Other District Overlay,Previous Station Area Overlay,Class Description Popup,Land Use Code Chapter,Land Use Code Chapter Link,Zoning History
31,7628,LR1 (M1), ,127219,6/27/2025 8:00:00 AM, , , , , ,Y,N,M1,,Multi-Family,Lowrise Multi-Family,LR1,Lowrise 1,Lowrise 1,Lowrise 1,LR1,LR1 (M1), ,125791,4/19/2019 8:00:00 AM, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR1 (M1),ORD127219,06/27/2025; LR1 (M1),ORD125791,04/19/2019; SF 5000; SF 5000,05/01/1994"
32,7823,LR1 (M1), ,127219,6/27/2025 8:00:00 AM, , , , , ,Y,N,M1,,Multi-Family,Lowrise Multi-Family,LR1,Lowrise 1,Lowrise 1,Lowrise 1,LR1,LR1 (M1), ,125791,4/19/2019 8:00:00 AM, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR1 (M1),ORD127219,06/27/2025; LR1 (M1),ORD125791,04/19/2019; SF 5000; SF 5000,05/01/1994"
33,4548,LR2 (M1), ,125791,4/19/2019 8:00:00 AM, , , , , ,Y,N,M1,,Multi-Family,Lowrise Multi-Family,LR2,Lowrise 2,Lowrise 2,Lowrise 2,LR2,SF 5000, ,0,, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR2 (M1),ORD125791,04/19/2019; SF 5000; SF 5000,05/01/1994"
34,8834,LR1 (M), ,127376,1/21/2026 8:00:00 AM, , ,UR,, ,Y,N,M,,Multi-Family,Lowrise Multi-Family,LR1,Lowrise 1,Lowrise 1,Lowrise 1,LR1,LR1 (M), ,4549,6/27/2025 8:00:00 AM, , ,UR,AL, ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR1 (M),ORD127376,01/21/2026; LR1 (M),ORD4549,06/27/2025; LR1 (M),ORD125791,04/19/2019; LR1,ORD123495,04/19/2011; LDT"
35,7629,LR1 (M1), ,127219,6/27/2025 8:00:00 AM, , , , , ,Y,N,M1,,Multi-Family,Lowrise Multi-Family,LR1,Lowrise 1,Lowrise 1,Lowrise 1,LR1,LR1 (M1), ,125791,4/19/2019 8:00:00 AM, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR1 (M1),ORD127219,06/27/2025; LR1 (M1),ORD125791,04/19/2019; SF 5000; SF 5000,05/01/1994"
36,8239,LR1 (M1), ,127219,6/27/2025 8:00:00 AM, , , , , ,Y,N,M1,,Multi-Family,Lowrise Multi-Family,LR1,Lowrise 1,Lowrise 1,Lowrise 1,LR1,LR1 (M1), ,125791,4/19/2019 8:00:00 AM, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR1 (M1),ORD127219,06/27/2025; LR1 (M1),ORD125791,04/19/2019; SF 5000; SF 5000,05/01/1994"
37,8822,LR3 (M), ,127376,1/21/2026 8:00:00 AM, , , ,, ,Y,N,M,,Multi-Family,Lowrise Multi-Family,LR3,Lowrise 3,Lowrise 3,Lowrise 3,LR3,LR3 (M), ,2664,4/19/2019 8:00:00 AM, , , ,AL, ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR3 (M),ORD127376,01/21/2026; LR3 (M),ORD2664,04/19/2019; LR3,ORD123495,04/19/2011; L-3"
38,8809,LR1 (M), ,127376,1/21/2026 8:00:00 AM, , , ,, ,Y,N,M,,Multi-Family,Lowrise Multi-Family,LR1,Lowrise 1,Lowrise 1,Lowrise 1,LR1,LR1 (M), ,4554,6/27/2025 8:00:00 AM, , , ,AL, ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR1 (M),ORD127376,01/21/2026; LR1 (M),ORD4554,06/27/2025; LR1 (M),ORD125791,04/19/2019; LR1,ORD123495,04/19/2011; L-1"
39,2645,LR2, ,123495,4/19/2011 8:00:00 AM, , ,CR, , ,N,N,,,Multi-Family,Lowrise Multi-Family,LR2,Lowrise 2,Lowrise 2,Lowrise 2,LR2,L-2,,0,,,,CR,,,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR2,ORD123495,04/19/2011; L-2"
40,8846,MR (M), ,127376,1/21/2026 8:00:00 AM, , , ,, ,Y,N,M,,Multi-Family,High-Density Multi-Family,MR,Midrise,Midrise,Midrise,MR,MR (M), ,4125,4/19/2019 8:00:00 AM, , , ,AL, ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"MR (M),ORD127376,01/21/2026; MR (M),ORD4125,04/19/2019; MR"
41,8574,NR, ,127376,1/21/2026 8:00:00 AM, , ,UR, , ,N,N,,,Neighborhood Residential,Neighborhood Residential,NR,Residential Neighborhood,Neighborhood Residential,Neighborhood Residential,NR,NR2, ,7243,6/27/2025 8:00:00 AM, , ,UR, , ,"is a neighborhood residential zone, which generally allows detached single-family houses, attached and detached accessory dwellings.",Chapter 23.44,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.44NERE,"NR,ORD127376,01/21/2026; NR2,ORD7243,06/27/2025; NR2,ORD126509,06/15/2022; SF 7200; SF 7200,05/01/1994"
42,2634,LR2, ,123495,4/19/2011 8:00:00 AM, , ,CP, , ,N,N,,,Multi-Family,Lowrise Multi-Family,LR2,Lowrise 2,Lowrise 2,Lowrise 2,LR2,L-2,,0,,,,CP,,,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR2,ORD123495,04/19/2011; L-2"
