compkey,unitdesc,onstreet,blockface_name,weekday_day,weekday_night,weekend_day,weekend_night,combo_class
1000,1ST AVE BETWEEN YESLER WAY AND CHERRY ST,1ST AVE,1ST AVE BETWEEN YESLER WAY AND CHERRY ST,Under-saturated,,Under-saturated,,weekday_day Under-saturated | weekday_night nan | weekend_day Under-saturated | weenend_night: nan
2751,2ND AVE BETWEEN COLUMBIA ST AND MARION ST,2ND AVE,2ND AVE BETWEEN COLUMBIA ST AND MARION ST,Under-saturated,Under-saturated,Under-saturated,Under-saturated,weekday_day Under-saturated | weekday_night Under-saturated | weekend_day Under-saturated | weenend_night: Under-saturated
2752,2ND AVE BETWEEN MARION ST AND MADISON ST,2ND AVE,2ND AVE BETWEEN MARION ST AND MADISON ST,Under-saturated,Under-saturated,Under-saturated,Under-saturated,weekday_day Under-saturated | weekday_night Under-saturated | weekend_day Under-saturated | weenend_night: Under-saturated
2753,2ND AVE BETWEEN MADISON ST AND SPRING ST,2ND AVE,2ND AVE BETWEEN MADISON ST AND SPRING ST,Under-saturated,Under-saturated,Under-saturated,Under-saturated,weekday_day Under-saturated | weekday_night Under-saturated | weekend_day Under-saturated | weenend_night: Under-saturated
2754,2ND AVE BETWEEN SPRING ST AND SENECA ST,2ND AVE,2ND AVE BETWEEN SPRING ST AND SENECA ST,Under-saturated,Under-saturated,Under-saturated,Under-saturated,weekday_day Under-saturated | weekday_night Under-saturated | weekend_day Under-saturated | weenend_night: Under-saturated
2755,2ND AVE BETWEEN SENECA ST AND UNIVERSITY ST,2ND AVE,2ND AVE BETWEEN SENECA ST AND UNIVERSITY ST,Under-saturated,Under-saturated,Under-saturated,Under-saturated,weekday_day Under-saturated | weekday_night Under-saturated | weekend_day Under-saturated | weenend_night: Under-saturated
2757,2ND AVE BETWEEN UNION ST AND PIKE ST,2ND AVE,2ND AVE BETWEEN UNION ST AND PIKE ST,Under-saturated,Under-saturated,Under-saturated,Under-saturated,weekday_day Under-saturated | weekday_night Under-saturated | weekend_day Under-saturated | weenend_night: Under-saturated
2758,2ND AVE BETWEEN PIKE ST AND PINE ST,2ND AVE,2ND AVE BETWEEN PIKE ST AND PINE ST,Under-saturated,Under-saturated,Under-saturated,Under-saturated,weekday_day Under-saturated | weekday_night Under-saturated | weekend_day Under-saturated | weenend_night: Under-saturated
2759,2ND AVE BETWEEN PINE ST AND STEWART ST,2ND AVE,2ND AVE BETWEEN PINE ST AND STEWART ST,Under-saturated,Under-saturated,Under-saturated,Under-saturated,weekday_day Under-saturated | weekday_night Under-saturated | weekend_day Under-saturated | weenend_night: Under-saturated
2760,2ND AVE BETWEEN STEWART ST AND VIRGINIA ST,2ND AVE,2ND AVE BETWEEN STEWART ST AND VIRGINIA ST,Under-saturated,Under-saturated,Under-saturated,Under-saturated,weekday_day Under-saturated | weekday_night Under-saturated | weekend_day Under-saturated | weenend_night: Under-saturated
2761,2ND AVE BETWEEN VIRGINIA ST AND LENORA ST,2ND AVE,2ND AVE BETWEEN VIRGINIA ST AND LENORA ST,Under-saturated,Under-saturated,Under-saturated,Under-saturated,weekday_day Under-saturated | weekday_night Under-saturated | weekend_day Under-saturated | weenend_night: Under-saturated
