overall_mean_occupancy,all_rate_mean_ps,parking_spaces,paystation_count,street_width,speed_limit,building_coverage_ratio,commercial_mixed_share,residential_share,transport_parking_share,one_way_Y,artdescript_Interstate/Freeway,artdescript_Minor Arterial,artdescript_Not Designated,artdescript_Principal Arterial,artdescript_State Route/Freeway
0.5148581038139113,4.5,5.0,1.0,30.0,20.0,0.2537419374690795,0.8459259509157308,0.09560704442284633,0.0,False,False,False,True,False,False
0.13147542836685722,4.5,3.0,1.0,30.0,20.0,0.27693203728363025,0.8246878731305409,0.11674532809584347,0.0,False,False,False,True,False,False
0.23209954332192298,4.5,6.0,1.0,30.0,25.0,0.2233021330962218,0.1757825180249686,0.44103774677556196,0.0,False,False,True,False,False,False
0.3285869151158066,4.5,4.0,1.0,30.0,25.0,0.35794910962626336,0.4413516472200976,0.24984324786467244,0.0,False,False,True,False,False,False
0.06649572649572649,4.5,6.0,1.0,41.0,25.0,0.14028476168082482,0.05342914031434979,0.3928958222349631,0.0,False,False,True,False,False,False
0.2512535052083178,2.0,2.0,2.0,40.0,25.0,0.26635651198958504,0.4408370384006708,0.24977169616840422,0.0,False,False,True,False,False,False
0.09343650646450827,4.5,7.0,2.0,40.0,25.0,0.2530296983971642,0.09560383458849087,0.11711132749704484,0.0,False,False,True,False,False,False
0.06555563822751323,4.5,5.25,2.0,40.0,25.0,0.20588845187451352,0.14373821392936678,0.3565727477605399,0.0,False,False,True,False,False,False
0.18845411621716224,4.5,4.0,2.0,40.0,25.0,0.3765734363246263,0.191463892692471,0.6917011484165567,0.0,False,False,True,False,False,False
0.270508831313755,4.5,6.0,1.0,40.0,25.0,0.3944737464397701,0.11682613503748847,0.6332814800580818,0.0,False,False,True,False,False,False
0.23338194738644247,4.5,6.0,1.0,40.0,25.0,0.37938686620032686,0.4985677848399695,0.11732249139189524,0.0,False,False,True,False,False,False
0.32355552771584145,4.5,4.0,1.0,0.0,20.0,0.4060650463611592,0.7069387491105221,0.0,0.0,False,False,False,True,False,False
0.3603499097007224,3.5,7.0,1.0,42.0,25.0,0.474115877963068,0.39280074815945565,0.0,0.0,False,False,True,False,False,False
0.6803444353070176,4.833333333333333,8.0,1.0,47.0,25.0,0.008262360041224541,0.855222829318522,0.09315405237077788,0.05162311831069997,False,False,False,False,True,False
0.6697291666666667,4.833333333333333,4.0,1.0,47.0,25.0,0.13965923858793738,0.27179255962281706,0.0,0.3686159162042495,False,False,False,False,True,False
0.5975009615384614,4.833333333333333,6.0,1.0,47.0,25.0,0.10606398044053726,0.6000239664456706,0.0,0.0,False,False,False,False,True,False
0.004960937499999999,1.5,16.0,1.0,47.0,25.0,0.07321125423426723,0.03872480278191404,0.4218654469017811,0.5007006878160057,False,False,False,False,True,False
0.007756410256410257,1.5,13.0,1.0,47.0,25.0,0.09347689341756832,0.3239170044221767,0.035444496866249696,0.25951807596720483,False,False,False,False,True,False
0.055799919871794876,2.0,13.0,2.0,47.0,25.0,0.2737044211160372,0.29854662732515735,0.0,0.032620178790527435,False,False,False,False,True,False
0.5841752677177725,2.0,9.0,2.0,47.0,25.0,0.11095406156600127,0.43000472114004573,0.0,0.024211072099639096,False,False,False,False,True,False
0.10483473239020143,2.0,6.0,2.0,50.0,25.0,0.0,0.9939385399392633,0.0,0.006061460060736701,False,False,False,False,True,False
0.11313911500549431,2.0,13.0,2.0,50.0,25.0,0.06732094964400794,0.8693989372465439,0.0,0.004956829444279657,False,False,False,False,True,False
0.7461057027174384,2.0,5.0,2.0,50.0,25.0,0.10321751767177634,1.0,0.0,0.0,False,False,False,False,True,False
0.3845763888888889,4.833333333333333,6.0,1.0,0.0,25.0,0.14837864238689843,0.8820769429361761,0.11792305706382376,0.0,True,False,False,False,True,False
0.5871916666666667,4.833333333333333,8.0,1.0,0.0,25.0,0.12641165205395766,0.19814391568208017,0.8018560843179198,0.0,True,False,False,False,True,False
0.5907916666666667,1.25,2.0,1.0,0.0,25.0,0.13135983298990667,0.8725663171417724,0.0,0.05134576525448717,True,False,False,False,True,False
0.192625,1.25,4.0,1.0,0.0,25.0,0.16167921304033403,0.35841484094887355,0.19553088752920117,0.0,True,False,False,False,True,False
0.49522058823529413,1.25,6.0,1.0,0.0,25.0,0.1721633754368004,0.27412222761160676,0.0,0.0,True,False,False,False,True,False
0.07409900841346154,4.5,8.0,1.0,0.0,20.0,0.2633593258199818,0.29889731264695935,0.034014390519683385,0.0,False,False,False,True,False,False
0.09902455023034669,4.5,11.0,2.0,30.0,20.0,0.23695915715444676,0.35379191851366637,0.5475911135469608,0.0,False,False,False,True,False,False
0.07226702877560015,4.5,4.0,2.0,30.0,20.0,0.22257576661008943,0.3150471583879594,0.6849528416120407,0.0,False,False,False,True,False,False
0.3555360830001195,1.0,5.5,2.0,0.0,20.0,0.41255242982506823,0.48007133024644555,0.5199286697535546,0.0,True,False,False,True,False,False
0.5094807784206512,1.0,12.5,2.0,44.0,25.0,0.3532870104890091,0.8010261905940402,0.0502525927488183,0.0,True,False,True,False,False,False
0.46652553210336867,1.0,8.0,2.0,44.0,25.0,0.38548367512597703,0.5973687075660067,0.2012980503457901,0.0,True,False,True,False,False,False
0.30980584123853355,1.0,3.75,2.0,44.0,25.0,0.34785278429460226,0.8540123373287556,0.04865085980548664,0.0,True,False,True,False,False,False
0.4318054405740665,1.0,5.0,2.0,44.0,25.0,0.33634404975355264,0.45000276066212036,0.530675584568529,0.0,True,False,False,False,True,False
0.3485794818806939,1.0,5.0,2.0,0.0,20.0,0.34200334330439186,0.5319658101193941,0.35656664732339194,0.0,False,False,False,True,False,False
0.12788582976163623,1.5,5.0,1.0,0.0,20.0,0.3179799631726042,0.33863585146077413,0.48066083033759316,0.0,True,False,False,True,False,False
0.2592065477236406,1.5,8.0,1.0,42.0,20.0,0.19363575975235212,0.4853807857701323,0.42020693868907877,0.0,True,False,False,True,False,False
0.501668679570605,1.5,6.0,2.0,42.0,20.0,0.3929205843152258,0.7182006536424865,0.0660651370660244,0.0,False,False,False,True,False,False
0.35095788317077686,1.5,10.5,2.0,0.0,20.0,0.28964081886530746,0.6364757268860954,0.36352427311390445,0.0,True,False,False,True,False,False
0.2975566866499473,1.5,6.0,2.0,42.0,20.0,0.3646972880487417,0.7497269234838567,0.25027307651614333,0.0,True,False,False,True,False,False
0.5081742401076548,1.5,5.5,2.0,44.0,20.0,0.29211766624299385,0.7703193454747437,0.22968065452525632,0.0,True,False,False,True,False,False
0.27713829408025836,1.5,7.0,1.0,42.0,20.0,0.3015428923754185,0.7001941025062987,0.25099819125026523,0.0,True,False,False,True,False,False
0.18725741556776215,4.5,5.0,1.0,0.0,20.0,0.29755871757934427,0.9331532139782847,0.0,0.0,False,False,False,True,False,False
0.12334569585537919,4.5,6.5,2.0,36.0,20.0,0.3389067643180348,0.4630170561709011,0.19166847317184366,0.0,False,False,False,True,False,False
