compkey,unitdesc,onstreet,blockface_name,overall_mean_occupancy,parking_spaces,mean_occupied_spaces,time_limit,parking_category,paid_subarea,paystation_count,weekday_rate_mean_ps,weekend_rate_mean_ps,all_rate_mean_ps,all_rate_max_ps,paidarea_ps,subarea_ps,street_width,speed_limit,seg_length,shape_length,slope_pct,one_way,artdescript,commercial_mixed_share,industrial_share,institutional_share,open_space_share,other_share,residential_share,transport_parking_share,building_count,building_coverage_ratio
2871,2ND AVE S BETWEEN S JACKSON ST AND S KING ST,2ND AVE S,2ND AVE S BETWEEN S JACKSON ST AND S KING ST,0.7188836915166485,13.25,7.635889469788631,120,Paid Parking,Edge,2.0,1.25,1.25,1.25,1.5,Pioneer Square,Edge,58.0,25.0,333.0,333.079271134414,3.0,N,Minor Arterial,0.9576504780360768,0.0,0.0,0.04234952196392321,0.0,0.0,0.0,6.0,0.36890573150845984
2924,2ND AV ET S BETWEEN S JACKSON ST AND S MAIN ST,2ND AV ET S,2ND AV ET S BETWEEN S JACKSON ST AND S MAIN ST,0.2937166666666666,5.0,1.4728333333333334,120,Paid Parking,Edge,1.0,1.25,1.25,1.25,1.5,Pioneer Square,Edge,54.0,25.0,333.0,332.537167042156,3.0,Y,Principal Arterial,0.5368717467462959,0.017080508259805182,0.0,0.0,0.11522550524685285,0.0,0.33082223974704594,4.0,0.19759563848834716
2925,2ND AV ET S BETWEEN S MAIN ST AND S WASHINGTON ST,2ND AV ET S,2ND AV ET S BETWEEN S MAIN ST AND S WASHINGTON ST,0.15946536306830422,2.0,0.4668489190548014,120,Paid Parking,Edge,2.0,1.25,1.25,1.25,1.5,Pioneer Square,Edge,54.0,25.0,389.0,388.652823310609,0.0,Y,Principal Arterial,0.708110415238058,0.0,0.0,0.007351179596673963,0.2845384051652682,0.0,0.0,7.0,0.2643873529834374
2926,2ND AV ET S BETWEEN S WASHINGTON ST AND YESLER WAY,2ND AV ET S,2ND AV ET S BETWEEN S WASHINGTON ST AND YESLER WAY,0.20614583333333336,4.0,0.8320833333333334,120,Paid Parking,Edge,,,,,,,,54.0,25.0,360.0,360.403002268337,2.0,Y,Principal Arterial,0.6971288823162489,0.0,0.0,0.013876396392898819,0.2669501299219561,0.022044591368896086,0.0,7.0,0.3022406244658777
4388,3RD AVE BETWEEN LENORA ST AND BLANCHARD ST,3RD AVE,3RD AVE BETWEEN LENORA ST AND BLANCHARD ST,0.18186870532637894,7.5,1.265540201986262,120,Paid Parking,South,2.0,1.5,1.5,1.5,2.5,Belltown,South,54.0,25.0,426.0,426.288744404239,2.0,N,Minor Arterial,0.533871088983874,0.0,0.0,0.0,0.036347975124949,0.429780935891177,0.0,7.0,0.36889987678313324
4390,3RD AVE BETWEEN BELL ST AND BATTERY ST,3RD AVE,3RD AVE BETWEEN BELL ST AND BATTERY ST,0.49311120540286,7.0,3.4661742711533536,240,Paid Parking,North,1.0,1.0,1.0,1.0,1.0,Belltown,North,54.0,25.0,426.0,426.011015067487,1.0,N,Minor Arterial,0.71221045217031,0.0,0.0,0.03762076103437975,0.03760068770486968,0.21256809909044044,0.0,5.0,0.3931702293769299
4391,3RD AVE BETWEEN BATTERY ST AND WALL ST,3RD AVE,3RD AVE BETWEEN BATTERY ST AND WALL ST,0.49041127506129345,6.5,3.3002039205576548,240,Paid Parking,North,2.0,1.0,1.0,1.0,1.0,Belltown,North,54.0,25.0,306.0,306.24042182554,1.0,N,Minor Arterial,0.8022335816949298,0.0,0.0,0.0,0.1977664183050701,0.0,0.0,6.0,0.33854579291683984
4392,3RD AVE BETWEEN WALL ST AND VINE ST,3RD AVE,3RD AVE BETWEEN WALL ST AND VINE ST,0.4070524016277559,9.5,3.83029017022277,240,Paid Parking,North,2.0,1.0,1.0,1.0,1.0,Belltown,North,54.0,25.0,306.0,306.396051385076,1.0,N,Minor Arterial,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.3512937658159836
4394,3RD AVE BETWEEN CEDAR ST AND CLAY ST,3RD AVE,3RD AVE BETWEEN CEDAR ST AND CLAY ST,0.4401233992545575,7.0,3.0446940365044237,240,Paid Parking,North,2.0,1.0,1.0,1.0,1.0,Belltown,North,54.0,25.0,306.0,305.889494564133,1.0,N,Minor Arterial,0.8949618776431004,0.0,0.0,0.05242179167685796,0.0,0.0,0.052616330680041554,5.0,0.2744395733058758
4395,3RD AVE BETWEEN CLAY ST AND BROAD ST,3RD AVE,3RD AVE BETWEEN CLAY ST AND BROAD ST,0.4131223195675438,8.0,3.3251660565403505,240,Paid Parking,North,2.0,1.0,1.0,1.0,1.0,Belltown,North,54.0,25.0,313.0,313.012086837207,0.0,N,Minor Arterial,0.4061520224272948,0.0,0.0,0.1720006719845792,0.0,0.0,0.42184730558812605,4.0,0.1459746908062501
