compkey,unitdesc,onstreet,blockface_name,period,weekpart,occupancy_rate,occupied_spaces,parking_spaces,n_hours,n_obs,paid_rate,time_limit,parking_category,paid_subarea,occupancy_class
1011,1ST AVE BETWEEN STEWART ST AND VIRGINIA ST,1ST AVE,1ST AVE BETWEEN STEWART ST AND VIRGINIA ST,night,weekend,0.6643333333333333,6.6433333333333335,10.0,10,600,,120,Paid Parking,South,Under-saturated
1012,1ST AVE BETWEEN VIRGINIA ST AND LENORA ST,1ST AVE,1ST AVE BETWEEN VIRGINIA ST AND LENORA ST,day,weekday,0.4369708336806808,4.102125497219361,10.0,200,18993,,120,Paid Parking,South,Under-saturated
1012,1ST AVE BETWEEN VIRGINIA ST AND LENORA ST,1ST AVE,1ST AVE BETWEEN VIRGINIA ST AND LENORA ST,day,weekend,0.5013000000000001,4.614333333333334,8.5,50,6000,,120,Paid Parking,South,Under-saturated
1012,1ST AVE BETWEEN VIRGINIA ST AND LENORA ST,1ST AVE,1ST AVE BETWEEN VIRGINIA ST AND LENORA ST,night,weekday,0.4566274347588686,4.275240459601672,8.5,40,4696,,120,Paid Parking,South,Under-saturated
1012,1ST AVE BETWEEN VIRGINIA ST AND LENORA ST,1ST AVE,1ST AVE BETWEEN VIRGINIA ST AND LENORA ST,night,weekend,0.5819523809523809,5.170833333333333,8.5,10,1200,,120,Paid Parking,South,Under-saturated
1013,1ST AVE BETWEEN LENORA ST AND BLANCHARD ST,1ST AVE,1ST AVE BETWEEN LENORA ST AND BLANCHARD ST,day,weekday,0.4489515693868968,4.048064124482071,9.0,200,23688,,120,Paid Parking,South,Under-saturated
1013,1ST AVE BETWEEN LENORA ST AND BLANCHARD ST,1ST AVE,1ST AVE BETWEEN LENORA ST AND BLANCHARD ST,day,weekend,0.5333333333333333,4.836166666666667,9.0,50,6000,,120,Paid Parking,South,Under-saturated
1013,1ST AVE BETWEEN LENORA ST AND BLANCHARD ST,1ST AVE,1ST AVE BETWEEN LENORA ST AND BLANCHARD ST,night,weekday,0.6555769315409838,5.9139423838688545,9.0,40,4680,,120,Paid Parking,South,Under-saturated
1013,1ST AVE BETWEEN LENORA ST AND BLANCHARD ST,1ST AVE,1ST AVE BETWEEN LENORA ST AND BLANCHARD ST,night,weekend,0.7551851851851852,7.285833333333334,9.0,10,1200,,120,Paid Parking,South,Optimal
1014,1ST AVE BETWEEN BLANCHARD ST AND BELL ST,1ST AVE,1ST AVE BETWEEN BLANCHARD ST AND BELL ST,day,weekday,0.18386474574065595,2.2993308970077115,12.5,200,23703,,120,Paid Parking,South,Under-saturated
1014,1ST AVE BETWEEN BLANCHARD ST AND BELL ST,1ST AVE,1ST AVE BETWEEN BLANCHARD ST AND BELL ST,day,weekend,0.29455662393162396,3.6903333333333337,12.5,50,6000,,120,Paid Parking,South,Under-saturated
1014,1ST AVE BETWEEN BLANCHARD ST AND BELL ST,1ST AVE,1ST AVE BETWEEN BLANCHARD ST AND BELL ST,night,weekday,0.37496060363247863,4.6815625,12.5,40,4671,,120,Paid Parking,South,Under-saturated
1014,1ST AVE BETWEEN BLANCHARD ST AND BELL ST,1ST AVE,1ST AVE BETWEEN BLANCHARD ST AND BELL ST,night,weekend,0.4433653846153846,5.548333333333334,12.5,10,1200,,120,Paid Parking,South,Under-saturated
1015,1ST AVE BETWEEN BELL ST AND BATTERY ST,1ST AVE,1ST AVE BETWEEN BELL ST AND BATTERY ST,day,weekday,0.37697810350247346,3.0186998280197876,8.0,200,23703,,240,Paid Parking,North,Under-saturated
1015,1ST AVE BETWEEN BELL ST AND BATTERY ST,1ST AVE,1ST AVE BETWEEN BELL ST AND BATTERY ST,day,weekend,0.41891666666666666,3.3713333333333333,8.0,50,6000,,240,Paid Parking,North,Under-saturated
1015,1ST AVE BETWEEN BELL ST AND BATTERY ST,1ST AVE,1ST AVE BETWEEN BELL ST AND BATTERY ST,night,weekday,0.6635562793887148,5.354283568443051,8.0,40,4684,,240,Paid Parking,North,Under-saturated
1015,1ST AVE BETWEEN BELL ST AND BATTERY ST,1ST AVE,1ST AVE BETWEEN BELL ST AND BATTERY ST,night,weekend,0.7003125,5.678333333333333,8.0,10,1200,,240,Paid Parking,North,Optimal
1016,1ST AVE BETWEEN BATTERY ST AND WALL ST,1ST AVE,1ST AVE BETWEEN BATTERY ST AND WALL ST,day,weekday,0.3744942968111762,2.6838582044173878,7.0,200,23661,,240,Paid Parking,North,Under-saturated
1016,1ST AVE BETWEEN BATTERY ST AND WALL ST,1ST AVE,1ST AVE BETWEEN BATTERY ST AND WALL ST,day,weekend,0.5756634399961037,4.168924605493864,7.0,50,5993,,240,Paid Parking,North,Under-saturated
1016,1ST AVE BETWEEN BATTERY ST AND WALL ST,1ST AVE,1ST AVE BETWEEN BATTERY ST AND WALL ST,night,weekday,0.7647715134904536,5.458430044431566,7.0,40,4678,,240,Paid Parking,North,Optimal
1016,1ST AVE BETWEEN BATTERY ST AND WALL ST,1ST AVE,1ST AVE BETWEEN BATTERY ST AND WALL ST,night,weekend,0.9044444444444444,7.32,7.0,10,1200,,240,Paid Parking,North,Over-saturated
1017,1ST AVE BETWEEN WALL ST AND VINE ST,1ST AVE,1ST AVE BETWEEN WALL ST AND VINE ST,day,weekday,0.24231453511974857,1.4178092886405693,6.0,200,22888,,240,Paid Parking,North,Under-saturated
1017,1ST AVE BETWEEN WALL ST AND VINE ST,1ST AVE,1ST AVE BETWEEN WALL ST AND VINE ST,day,weekend,0.2762833333333333,1.6193333333333333,5.5,50,6000,,240,Paid Parking,North,Under-saturated
1017,1ST AVE BETWEEN WALL ST AND VINE ST,1ST AVE,1ST AVE BETWEEN WALL ST AND VINE ST,night,weekday,0.42037106655527706,2.4872702589807854,6.0,40,4502,,240,Paid Parking,North,Under-saturated
1017,1ST AVE BETWEEN WALL ST AND VINE ST,1ST AVE,1ST AVE BETWEEN WALL ST AND VINE ST,night,weekend,0.4968055555555556,2.9183333333333334,5.5,10,1200,,240,Paid Parking,North,Under-saturated
1018,1ST AVE BETWEEN VINE ST AND CEDAR ST,1ST AVE,1ST AVE BETWEEN VINE ST AND CEDAR ST,day,weekday,0.16818811300587927,1.0472968465877774,6.0,200,23746,,240,Paid Parking,North,Under-saturated
1018,1ST AVE BETWEEN VINE ST AND CEDAR ST,1ST AVE,1ST AVE BETWEEN VINE ST AND CEDAR ST,day,weekend,0.2879629629629629,1.8491666666666666,6.0,50,6000,,240,Paid Parking,North,Under-saturated
1018,1ST AVE BETWEEN VINE ST AND CEDAR ST,1ST AVE,1ST AVE BETWEEN VINE ST AND CEDAR ST,night,weekday,0.5825469947318007,3.4390107159961687,6.0,40,4675,,240,Paid Parking,North,Under-saturated
1018,1ST AVE BETWEEN VINE ST AND CEDAR ST,1ST AVE,1ST AVE BETWEEN VINE ST AND CEDAR ST,night,weekend,0.6590740740740741,4.2924999999999995,6.0,10,1200,,240,Paid Parking,North,Under-saturated
1019,1ST AVE BETWEEN CEDAR ST AND CLAY ST,1ST AVE,1ST AVE BETWEEN CEDAR ST AND CLAY ST,day,weekday,0.2646149991168685,1.3242833289176759,5.0,200,23898,,240,Paid Parking,North,Under-saturated
1019,1ST AVE BETWEEN CEDAR ST AND CLAY ST,1ST AVE,1ST AVE BETWEEN CEDAR ST AND CLAY ST,day,weekend,0.2677333333333333,1.3923333333333332,5.0,50,6000,,240,Paid Parking,North,Under-saturated
1019,1ST AVE BETWEEN CEDAR ST AND CLAY ST,1ST AVE,1ST AVE BETWEEN CEDAR ST AND CLAY ST,night,weekday,0.4445678316781258,2.2642974917239624,5.0,40,4674,,240,Paid Parking,North,Under-saturated
1019,1ST AVE BETWEEN CEDAR ST AND CLAY ST,1ST AVE,1ST AVE BETWEEN CEDAR ST AND CLAY ST,night,weekend,0.8931666666666667,5.260833333333333,5.0,10,1200,,240,Paid Parking,North,Over-saturated
1020,1ST AVE BETWEEN CLAY ST AND BROAD ST,1ST AVE,1ST AVE BETWEEN CLAY ST AND BROAD ST,day,weekday,0.20531409794927635,1.3559629642590445,6.5,200,23836,,240,Paid Parking,North,Under-saturated
1020,1ST AVE BETWEEN CLAY ST AND BROAD ST,1ST AVE,1ST AVE BETWEEN CLAY ST AND BROAD ST,day,weekend,0.2356470271724509,1.55440395480226,6.5,50,5984,,240,Paid Parking,North,Under-saturated
1020,1ST AVE BETWEEN CLAY ST AND BROAD ST,1ST AVE,1ST AVE BETWEEN CLAY ST AND BROAD ST,night,weekday,0.2575220609949935,1.6966931700110397,6.5,40,4679,,240,Paid Parking,North,Under-saturated
1020,1ST AVE BETWEEN CLAY ST AND BROAD ST,1ST AVE,1ST AVE BETWEEN CLAY ST AND BROAD ST,night,weekend,0.41078188054882964,2.7325564971751413,6.5,10,1199,,240,Paid Parking,North,Under-saturated
1021,1ST AVE BETWEEN BROAD ST AND EAGLE ST,1ST AVE,1ST AVE BETWEEN BROAD ST AND EAGLE ST,day,weekday,0.11965588176796856,0.83759117237578,7.0,123,7122,,240,Paid Parking,North,Under-saturated
1021,1ST AVE BETWEEN BROAD ST AND EAGLE ST,1ST AVE,1ST AVE BETWEEN BROAD ST AND EAGLE ST,day,weekend,0.15747619047619046,1.1023333333333334,7.0,50,2996,,240,Paid Parking,North,Under-saturated
1021,1ST AVE BETWEEN BROAD ST AND EAGLE ST,1ST AVE,1ST AVE BETWEEN BROAD ST AND EAGLE ST,night,weekday,0.1542653844396729,1.0798576910777102,7.0,20,1182,,240,Paid Parking,North,Under-saturated
1021,1ST AVE BETWEEN BROAD ST AND EAGLE ST,1ST AVE,1ST AVE BETWEEN BROAD ST AND EAGLE ST,night,weekend,0.5609523809523809,3.975,7.0,10,600,,240,Paid Parking,North,Under-saturated
1023,1ST AVE BETWEEN WARREN PL AND BAY ST,1ST AVE,1ST AVE BETWEEN WARREN PL AND BAY ST,day,weekday,0.15148952309559505,1.0604266616691653,7.0,115,6782,,240,Paid Parking,North,Under-saturated
1023,1ST AVE BETWEEN WARREN PL AND BAY ST,1ST AVE,1ST AVE BETWEEN WARREN PL AND BAY ST,day,weekend,0.28947619047619044,2.026333333333333,7.0,50,3000,,240,Paid Parking,North,Under-saturated
1023,1ST AVE BETWEEN WARREN PL AND BAY ST,1ST AVE,1ST AVE BETWEEN WARREN PL AND BAY ST,night,weekday,0.16278195488721803,1.1394736842105262,7.0,19,1140,,240,Paid Parking,North,Under-saturated
1023,1ST AVE BETWEEN WARREN PL AND BAY ST,1ST AVE,1ST AVE BETWEEN WARREN PL AND BAY ST,night,weekend,0.5152380952380952,3.6066666666666665,7.0,10,600,,240,Paid Parking,North,Under-saturated
1185,1ST AVE S BETWEEN YESLER WAY AND S WASHINGTON ST,1ST AVE S,1ST AVE S BETWEEN YESLER WAY AND S WASHINGTON ST,day,weekday,0.31702575757575757,3.330083333333333,10.5,200,24000,,120,Paid Parking,Core,Under-saturated
1185,1ST AVE S BETWEEN YESLER WAY AND S WASHINGTON ST,1ST AVE S,1ST AVE S BETWEEN YESLER WAY AND S WASHINGTON ST,day,weekend,0.368419696969697,3.878833333333333,10.5,50,6000,,120,Paid Parking,Core,Under-saturated
