compkey,unitdesc,onstreet,blockface_name,weekday_day,weekday_night,weekend_day,weekend_night,cluster,cluster_label
9684,CLAY ST BETWEEN 1ST AVE AND 2ND AVE,CLAY ST,CLAY ST BETWEEN 1ST AVE AND 2ND AVE,0.3858324300706865,0.25633264114807974,0.27594790308561495,0.5069230769230769,0,Night/weekend intensive streets
9685,CLAY ST BETWEEN 2ND AVE AND 3RD AVE,CLAY ST,CLAY ST BETWEEN 2ND AVE AND 3RD AVE,0.24935968154330432,0.3375892857142857,0.3019047619047619,0.45666666666666667,0,Night/weekend intensive streets
9686,CLAY ST BETWEEN 3RD AVE AND 4TH AVE,CLAY ST,CLAY ST BETWEEN 3RD AVE AND 4TH AVE,0.3548614338851593,0.36082751225490195,0.41135416666666663,0.47520833333333334,0,Night/weekend intensive streets
9730,COLUMBIA ST BETWEEN 3RD AVE AND 4TH AVE,COLUMBIA ST,COLUMBIA ST BETWEEN 3RD AVE AND 4TH AVE,0.4326865384615385,0.31389236111111113,0.21993333333333331,0.24716666666666667,0,Night/weekend intensive streets
9731,COLUMBIA ST BETWEEN 4TH AVE AND 5TH AVE,COLUMBIA ST,COLUMBIA ST BETWEEN 4TH AVE AND 5TH AVE,0.5064039351851851,0.5133966244725738,0.3606527777777778,0.4927777777777778,2,Consistently high occupancy streets
9732,COLUMBIA ST BETWEEN 5TH AVE AND 6TH AVE,COLUMBIA ST,COLUMBIA ST BETWEEN 5TH AVE AND 6TH AVE,0.4344018199233717,0.3616666666666667,0.15966666666666668,0.1475,0,Night/weekend intensive streets
9733,COLUMBIA ST BETWEEN 7TH AVE AND 8TH AVE,COLUMBIA ST,COLUMBIA ST BETWEEN 7TH AVE AND 8TH AVE,0.13420888345744436,0.02922619047619047,0.04895238095238095,0.03857142857142857,1,Consistently low occupancy streets
9734,COLUMBIA ST BETWEEN 8TH AVE AND 9TH AVE,COLUMBIA ST,COLUMBIA ST BETWEEN 8TH AVE AND 9TH AVE,0.08636452241715399,0.05307017543859649,0.07688888888888888,0.055555555555555546,1,Consistently low occupancy streets
9735,COLUMBIA ST BETWEEN 9TH AVE AND TERRY AVE,COLUMBIA ST,COLUMBIA ST BETWEEN 9TH AVE AND TERRY AVE,0.12255296813344894,0.20964321095571098,0.2683333333333333,0.2682916666666667,1,Consistently low occupancy streets
9736,COLUMBIA ST BETWEEN TERRY AVE AND BOREN AVE,COLUMBIA ST,COLUMBIA ST BETWEEN TERRY AVE AND BOREN AVE,0.08832669664697432,0.12416997682886462,0.14075000000000001,0.09475,1,Consistently low occupancy streets
10139,EAGLE ST BETWEEN WESTERN AVE AND 1ST AVE,EAGLE ST,EAGLE ST BETWEEN WESTERN AVE AND 1ST AVE,0.3066411238978635,0.3951718891971951,0.34106349206349207,0.7257738095238095,0,Night/weekend intensive streets
10140,EAGLE ST BETWEEN 1ST AVE AND 2ND WR AVE,EAGLE ST,EAGLE ST BETWEEN 1ST AVE AND 2ND WR AVE,0.4422078490394739,0.561228448275862,0.5124375,0.696875,2,Consistently high occupancy streets
10200,ELLIOTT AVE BETWEEN LENORA ST AND BLANCHARD ST,ELLIOTT AVE,ELLIOTT AVE BETWEEN LENORA ST AND BLANCHARD ST,0.485086817769289,0.3661425374656091,0.6027285714285714,0.5417142857142857,2,Consistently high occupancy streets
10203,ELLIOTT AVE BETWEEN BELL ST AND BATTERY ST,ELLIOTT AVE,ELLIOTT AVE BETWEEN BELL ST AND BATTERY ST,0.4394875746992434,0.3613382523148148,0.5467321428571429,0.49572916666666667,0,Night/weekend intensive streets
10204,ELLIOTT AVE BETWEEN BATTERY ST AND WALL ST,ELLIOTT AVE,ELLIOTT AVE BETWEEN BATTERY ST AND WALL ST,0.5292851062375793,0.425433471711666,0.5633238095238096,0.648952380952381,2,Consistently high occupancy streets
10205,ELLIOTT AVE BETWEEN WALL ST AND VINE ST,ELLIOTT AVE,ELLIOTT AVE BETWEEN WALL ST AND VINE ST,0.43739735149372394,0.3163387896825397,0.3420238095238095,0.5065000000000001,0,Night/weekend intensive streets
10206,ELLIOTT AVE BETWEEN VINE ST AND CEDAR ST,ELLIOTT AVE,ELLIOTT AVE BETWEEN VINE ST AND CEDAR ST,0.14132005934710387,0.278501716001716,0.2339345238095238,0.4695833333333333,0,Night/weekend intensive streets
10207,ELLIOTT AVE BETWEEN CEDAR ST AND CLAY ST,ELLIOTT AVE,ELLIOTT AVE BETWEEN CEDAR ST AND CLAY ST,0.4804914549893512,0.4919210218123261,0.5288888888888889,0.5825925925925926,2,Consistently high occupancy streets
10208,ELLIOTT AVE BETWEEN CLAY ST AND BROAD ST,ELLIOTT AVE,ELLIOTT AVE BETWEEN CLAY ST AND BROAD ST,0.5577037873800547,0.5031547619047619,0.6212857142857142,0.8207142857142857,2,Consistently high occupancy streets
